Period,Country,Year,Latitude,Longitude,Elevation_m _asl
2015,Sweden,2017,66.99496,23.19288,222
2015,Sweden,2017,67.4299,22.39649,222
2015,Sweden,2017,68.86295,23.16597,360
2015,Sweden,2017,69.37429,24.24192,341
2015,Sweden,2017,69.4081,24.69435,230
2015,Sweden,2017,69.44368,25.28016,163
2015,Sweden,2017,69.49201,25.84433,139
2015,Sweden,2017,69.71729,25.97481,128
2015,Sweden,2017,69.92133,26.44857,112
2015,Sweden,2017,70.00669,24.95641,63
2015,Sweden,2017,70.07047,27.75475,57
1915,Sweden,1915,59.400002,13.5,58
1915,Sweden,1915,65.300003,18.549999,384
1915,Sweden,1915,66.730003,22.299999,136
1915,Sweden,1915,63.43,18.15,111
1915,Sweden,1915,63.400002,13.07,509
1915,Sweden,1915,66.029999,17.799999,413
1915,Sweden,1915,65.580002,19.17,397
1915,Sweden,1915,59.669998,12.63,101
1915,Sweden,1915,64.169998,17.33,315
1915,Sweden,1915,59,14.8,96
1915,Sweden,1915,63.380001,14,402
1915,Sweden,1915,64.519997,20.65,89
1915,Sweden,1915,64.199997,19.719999,206
1915,Sweden,1915,59.5,17.07,10
1915,Sweden,1915,64.080002,18.4,312
1915,Sweden,1915,64.650002,13.77,401
1915,Sweden,1915,61.200001,16.799999,71
1915,Sweden,1915,60.599998,15.47,240
1915,Sweden,1915,63.369999,13.45,351
1915,Sweden,1915,62.599998,18,78
1915,Sweden,1915,62.41,13.5,519
1915,Sweden,1915,66.589996,19.889999,268
1915,Sweden,1915,65.029999,20.15,288
1915,Sweden,1915,67.910004,20.610001,396
1915,Sweden,1915,62.830002,16.9,254
1915,Sweden,1915,66.849998,23.129999,191
1915,Sweden,1915,59.400002,13.5,58
1915,Sweden,1915,59.900002,15.28,290
1915,Sweden,1915,60.25,14.98,172
1915,Sweden,1915,66.029999,19.17,440
1915,Sweden,1915,62.529999,17.389999,35
1915,Sweden,1915,61.830002,14,593
1915,Sweden,1915,60.25,17.4,51
1915,Sweden,1915,64.919998,19.48,327
1915,Sweden,1915,60.23,17.700001,40
1915,Sweden,1915,59.299999,15.2,42
1915,Sweden,1915,61.279999,14.55,339
1915,Sweden,1915,63.18,14.5,326
1915,Sweden,1915,65.400002,19.719999,330
1915,Sweden,1915,67.220001,23.4,187
1915,Sweden,1915,66.699997,18.4,637
1915,Sweden,1915,66,22.299999,109
1915,Sweden,1915,66.699997,20,361
1915,Sweden,1915,62.470001,14.55,380
1915,Sweden,1915,64.599998,18.67,230
1915,Sweden,1915,61.700001,13.1,481
1915,Sweden,1915,65.5,17.5,378
1915,Sweden,1915,65.089996,17.200001,403
1915,Sweden,1915,66.379997,20.709999,134
1915,Sweden,1915,64.220001,15.9,375
1915,Sweden,1915,65.830002,24.129999,10
1915,Sweden,1915,61.080002,13.32,406
1915,Sweden,1915,62.400002,14,620
1915,Sweden,1915,65.879997,20.32,104
1915,Sweden,1915,59.580002,16.6,10
1915,Sweden,1915,60.169998,14.5,418
1915,Sweden,1915,64.620003,16.65,340
